2040,1,often,often,often,never,usually,no,never,usually
1883,1,usually,never,sometimes,often,never,yes,often,often
2739,1,often,often,sometimes,sometimes,sometimes,yes,sometimes,never
2716,1,sometimes,often,usually,often,usually,no,often,sometimes
1115,1,often,often,often,often,often,no,usually,often
128,1,often,sometimes,never,sometimes,never,no,never,never
2656,1,never,sometimes,sometimes,usually,often,yes,often,usually
2490,1,usually,often,sometimes,often,usually,no,often,often
4862,1,often,never,sometimes,never,never,yes,sometimes,usually
1270,1,never,never,often,usually,often,no,never,never
393,1,never,never,often,never,often,yes,usually,usually
2507,1,usually,often,often,never,sometimes,yes,never,sometimes
4536,1,sometimes,never,sometimes,never,often,no,sometimes,sometimes
2902,1,often,usually,sometimes,usually,sometimes,no,sometimes,never
368,1,never,often,often,never,often,no,usually,sometimes
2241,1,often,often,never,never,never,yes,never,often
1023,1,often,never,usually,often,never,yes,usually,often
3816,1,often,sometimes,never,sometimes,usually,yes,sometimes,never
336,1,often,never,often,sometimes,often,yes,sometimes,never
1779,1,often,never,usually,often,usually,no,usually,often
134,1,often,often,never,usually,usually,no,usually,sometimes
4906,1,usually,usually,sometimes,often,usually,no,sometimes,never
4020,1,usually,never,never,sometimes,sometimes,yes,never,sometimes
3315,1,never,often,sometimes,sometimes,never,no,never,often
4790,1,sometimes,sometimes,sometimes,never,sometimes,yes,never,usually
2854,1,often,usually,sometimes,often,usually,no,often,usually
4533,1,sometimes,often,usually,sometimes,sometimes,yes,usually,never
4302,1,often,often,often,often,never,yes,usually,usually
1110,1,often,often,sometimes,never,usually,no,never,never
3304,1,usually,sometimes,usually,often,sometimes,no,never,usually
770,1,sometimes,never,usually,usually,usually,no,usually,sometimes
3234,1,often,often,often,often,never,no,never,usually
1543,1,often,usually,sometimes,usually,sometimes,yes,never,usually
3092,1,never,usually,usually,never,usually,no,never,often
4350,1,never,usually,sometimes,never,sometimes,no,often,usually
4434,1,often,sometimes,sometimes,sometimes,never,no,often,never
2393,1,usually,never,often,usually,never,yes,never,sometimes
2236,1,sometimes,never,sometimes,never,usually,yes,often,never
4026,1,usually,never,usually,sometimes,usually,no,sometimes,usually
4735,1,sometimes,never,often,sometimes,often,yes,sometimes,usually
451,1,sometimes,often,never,often,often,no,often,usually
1814,1,usually,never,sometimes,sometimes,often,yes,often,usually
1221,1,usually,often,usually,usually,often,yes,often,often
162,1,never,usually,sometimes,never,never,yes,usually,sometimes
4380,1,often,sometimes,never,often,often,no,often,sometimes
1655,1,often,usually,usually,often,often,yes,never,sometimes
1676,1,sometimes,never,sometimes,usually,sometimes,yes,usually,often
1277,1,never,never,usually,usually,never,no,never,usually
1279,1,sometimes,sometimes,often,never,usually,no,never,never
1835,1,often,never,sometimes,usually,usually,yes,usually,never
785,1,sometimes,usually,often,often,never,no,sometimes,usually
2324,1,often,never,never,usually,sometimes,yes,never,often
4585,1,sometimes,often,often,often,sometimes,no,never,usually
4228,1,sometimes,usually,never,usually,often,yes,usually,sometimes
2283,1,sometimes,sometimes,usually,never,usually,yes,sometimes,never
1926,1,often,usually,sometimes,sometimes,sometimes,yes,sometimes,sometimes
2212,1,often,never,usually,usually,sometimes,no,sometimes,never
1665,1,usually,often,often,usually,usually,no,sometimes,sometimes
1791,1,often,never,sometimes,sometimes,never,no,usually,sometimes
811,1,sometimes,never,usually,sometimes,sometimes,no,never,never
2573,1,often,never,sometimes,often,never,no,often,usually
1767,1,often,often,sometimes,often,sometimes,no,never,usually
233,1,never,often,often,usually,never,no,usually,usually
2296,1,usually,never,usually,never,often,yes,never,usually
4259,1,usually,sometimes,sometimes,often,sometimes,no,never,never
4064,1,usually,usually,sometimes,usually,sometimes,no,often,never
3671,1,never,never,sometimes,never,often,no,usually,usually
3101,1,never,often,never,sometimes,never,yes,sometimes,usually
3132,1,never,usually,often,usually,never,yes,sometimes,often
3747,1,often,often,usually,usually,often,yes,never,often
2630,1,never,never,sometimes,usually,sometimes,yes,usually,often
4165,1,sometimes,often,sometimes,usually,never,no,sometimes,never
4109,1,usually,sometimes,sometimes,sometimes,often,yes,often,never
733,1,sometimes,never,often,often,often,no,often,never
3840,1,often,often,never,often,never,yes,often,sometimes
4979,1,sometimes,usually,never,never,never,yes,usually,sometimes
3434,1,often,usually,never,usually,usually,no,usually,often
810,1,usually,sometimes,never,often,often,no,often,sometimes
